year,region,total_teacher
2013,Seoul,29751
2013,Jongno-gu,502
2013,Jung-gu,427
2013,Yongsan-gu ,627
2013,Seongdong-gu,956
2013,Gwangjin-gu,1025
2013,Dongdaemun-gu,982
2013,Jungnang-gu,1146
2013,Seongbuk-gu,1443
2013,Gangbuk-gu,801
2013,Dobong-gu,1120
2013,Nowon-gu,2007
2013,Eunpyeong-gu,1556
2013,Seodaemun-gu,918
2013,Mapo-gu,1182
2013,Yangcheon-gu,1583
2013,Gangseo-gu,1747
2013,Guro-gu,1299
2013,Geumcheon-gu,763
2013,Yeongdeungpo-gu,1128
2013,Dongjak-gu,1135
2013,Gwanak-gu,1243
2013,Seocho-gu,1234
2013,Gangnam-gu,1442
2013,Songpa-gu,2058
2013,Gang Dong-gu,1427
2014,Seoul,29613
2014,Jongno-gu,489
2014,Jung-gu,417
2014,Yongsan-gu ,615
2014,Seongdong-gu,946
2014,Gwangjin-gu,1040
2014,Dongdaemun-gu,976
2014,Jungnang-gu,1141
2014,Seongbuk-gu,1448
2014,Gangbuk-gu,793
2014,Dobong-gu,1111
2014,Nowon-gu,1987
2014,Eunpyeong-gu,1543
2014,Seodaemun-gu,914
2014,Mapo-gu,1160
2014,Yangcheon-gu,1542
2014,Gangseo-gu,1735
2014,Guro-gu,1303
2014,Geumcheon-gu,751
2014,Yeongdeungpo-gu,1123
2014,Dongjak-gu,1110
2014,Gwanak-gu,1224
2014,Seocho-gu,1290
2014,Gangnam-gu,1475
2014,Songpa-gu,2068
2014,Gang Dong-gu,1412
2015,Seoul,29627
2015,Jongno-gu,475
2015,Jung-gu,412
2015,Yongsan-gu ,612
2015,Seongdong-gu,939
2015,Gwangjin-gu,1049
2015,Dongdaemun-gu,975
2015,Jungnang-gu,1127
2015,Seongbuk-gu,1473
2015,Gangbuk-gu,795
2015,Dobong-gu,1114
2015,Nowon-gu,1949
2015,Eunpyeong-gu,1519
2015,Seodaemun-gu,881
2015,Mapo-gu,1174
2015,Yangcheon-gu,1526
2015,Gangseo-gu,1778
2015,Guro-gu,1298
2015,Geumcheon-gu,718
2015,Yeongdeungpo-gu,1117
2015,Dongjak-gu,1115
2015,Gwanak-gu,1227
2015,Seocho-gu,1289
2015,Gangnam-gu,1556
2015,Songpa-gu,2085
2015,Gang Dong-gu,1424
2016,Seoul,29448
2016,Jongno-gu,451
2016,Jung-gu,405
2016,Yongsan-gu ,604
2016,Seongdong-gu,963
2016,Gwangjin-gu,1041
2016,Dongdaemun-gu,951
2016,Jungnang-gu,1103
2016,Seongbuk-gu,1459
2016,Gangbuk-gu,761
2016,Dobong-gu,1087
2016,Nowon-gu,1915
2016,Eunpyeong-gu,1491
2016,Seodaemun-gu,941
2016,Mapo-gu,1164
2016,Yangcheon-gu,1536
2016,Gangseo-gu,1774
2016,Guro-gu,1308
2016,Geumcheon-gu,702
2016,Yeongdeungpo-gu,1099
2016,Dongjak-gu,1099
2016,Gwanak-gu,1198
2016,Seocho-gu,1323
2016,Gangnam-gu,1573
2016,Songpa-gu,2106
2016,Gang Dong-gu,1394
2017,Seoul,29191
2017,Jongno-gu,466
2017,Jung-gu,398
2017,Yongsan-gu ,581
2017,Seongdong-gu,954
2017,Gwangjin-gu,1034
2017,Dongdaemun-gu,938
2017,Jungnang-gu,1087
2017,Seongbuk-gu,1399
2017,Gangbuk-gu,729
2017,Dobong-gu,1061
2017,Nowon-gu,1874
2017,Eunpyeong-gu,1452
2017,Seodaemun-gu,904
2017,Mapo-gu,1150
2017,Yangcheon-gu,1540
2017,Gangseo-gu,1760
2017,Guro-gu,1313
2017,Geumcheon-gu,731
2017,Yeongdeungpo-gu,1092
2017,Dongjak-gu,1075
2017,Gwanak-gu,1170
2017,Seocho-gu,1343
2017,Gangnam-gu,1595
2017,Songpa-gu,2103
2017,Gang Dong-gu,1442
2018,Seoul,28992
2018,Jongno-gu,446
2018,Jung-gu,398
2018,Yongsan-gu ,578
2018,Seongdong-gu,972
2018,Gwangjin-gu,1020
2018,Dongdaemun-gu,968
2018,Jungnang-gu,1070
2018,Seongbuk-gu,1405
2018,Gangbuk-gu,736
2018,Dobong-gu,1041
2018,Nowon-gu,1851
2018,Eunpyeong-gu,1428
2018,Seodaemun-gu,910
2018,Mapo-gu,1098
2018,Yangcheon-gu,1526
2018,Gangseo-gu,1768
2018,Guro-gu,1297
2018,Geumcheon-gu,712
2018,Yeongdeungpo-gu,1081
2018,Dongjak-gu,1094
2018,Gwanak-gu,1147
2018,Seocho-gu,1369
2018,Gangnam-gu,1610
2018,Songpa-gu,2133
2018,Gang Dong-gu,1334
2019,Seoul,28727
2019,Jongno-gu,439
2019,Jung-gu,401
2019,Yongsan-gu ,580
2019,Seongdong-gu,936
2019,Gwangjin-gu,1018
2019,Dongdaemun-gu,937
2019,Jungnang-gu,1071
2019,Seongbuk-gu,1391
2019,Gangbuk-gu,708
2019,Dobong-gu,1023
2019,Nowon-gu,1788
2019,Eunpyeong-gu,1411
2019,Seodaemun-gu,890
2019,Mapo-gu,1086
2019,Yangcheon-gu,1533
2019,Gangseo-gu,1781
2019,Guro-gu,1330
2019,Geumcheon-gu,698
2019,Yeongdeungpo-gu,1057
2019,Dongjak-gu,1060
2019,Gwanak-gu,1105
2019,Seocho-gu,1367
2019,Gangnam-gu,1593
2019,Songpa-gu,2195
2019,Gang Dong-gu,1329
2020,Seoul,28608
2020,Jongno-gu,452
2020,Jung-gu,393
2020,Yongsan-gu ,568
2020,Seongdong-gu,919
2020,Gwangjin-gu,998
2020,Dongdaemun-gu,932
2020,Jungnang-gu,1067
2020,Seongbuk-gu,1359
2020,Gangbuk-gu,703
2020,Dobong-gu,1012
2020,Nowon-gu,1751
2020,Eunpyeong-gu,1408
2020,Seodaemun-gu,906
2020,Mapo-gu,1037
2020,Yangcheon-gu,1555
2020,Gangseo-gu,1756
2020,Guro-gu,1336
2020,Geumcheon-gu,693
2020,Yeongdeungpo-gu,1039
2020,Dongjak-gu,1045
2020,Gwanak-gu,1067
2020,Seocho-gu,1324
2020,Gangnam-gu,1611
2020,Songpa-gu,2173
2020,Gang Dong-gu,1504
2021,Seoul,28219
2021,Jongno-gu,448
2021,Jung-gu,382
2021,Yongsan-gu ,585
2021,Seongdong-gu,897
2021,Gwangjin-gu,961
2021,Dongdaemun-gu,911
2021,Jungnang-gu,1042
2021,Seongbuk-gu,1354
2021,Gangbuk-gu,689
2021,Dobong-gu,979
2021,Nowon-gu,1716
2021,Eunpyeong-gu,1368
2021,Seodaemun-gu,900
2021,Mapo-gu,1020
2021,Yangcheon-gu,1503
2021,Gangseo-gu,1711
2021,Guro-gu,1300
2021,Geumcheon-gu,672
2021,Yeongdeungpo-gu,1042
2021,Dongjak-gu,1053
2021,Gwanak-gu,1044
2021,Seocho-gu,1330
2021,Gangnam-gu,1624
2021,Songpa-gu,2161
2021,Gang Dong-gu,1527
